ID Sire Dam CG Ultra WT1 WT2 FI GAIN FCR RFI
183000325 Sire_178964030 Dam_178954281 183_1_178_V_F 31.37 1726 2328 1023 602 1.699 73.67
183000329 Sire_178964030 Dam_178956755 183_1_178_V_M 36.92 1948 2800 1186 852 1.392 -54.48
183000331 Sire_178964030 Dam_178956755 183_1_178_V_F 36.87 1774 2266 880 492 1.789 29.96
183000333 Sire_178964030 Dam_178956755 183_1_178_V_F 31.93 1634 2184 900 550 1.636 24.32
183000335 Sire_178964030 Dam_178956755 183_1_178_V_M 37.07 1886 2720 1200 834 1.439 -10.19
183000339 Sire_178964030 Dam_178960300 183_1_178_V_F 35.44 1742 2296 880 554 1.588 -24.85
183000361 Sire_178964846 Dam_178954973 183_1_178_V_F 33.23 1682 2314 1048 632 1.658 78.79
183000365 Sire_178964846 Dam_178954973 183_1_178_V_F 33.48 1772 2458 967 686 1.41 -77.42
183000369 Sire_178963329 Dam_178956156 183_1_178_V_F 36.8 1622 2282 1084 660 1.642 100.64
183000371 Sire_178964846 Dam_178956156 183_1_178_V_F 35.21 1672 2178 829 506 1.638 -11.34
183000379 Sire_178963329 Dam_178959782 183_1_178_V_M 35.57 1990 2662 1039 672 1.546 -26.74
183000383 Sire_178963329 Dam_178961686 183_1_178_V_M 40.45 2120 2972 1248 852 1.465 -25.77
183000395 Sire_178963329 Dam_178965590 183_1_178_V_F 30.68 1694 2210 923 516 1.789 67.49
183000399 Sire_178963329 Dam_178955105 183_1_178_V_F 31.44 1658 2320 1053 662 1.591 59.25
183000401 Sire_178963329 Dam_178955105 183_1_178_V_M 35.24 1900 2858 1300 958 1.357 -38.88
183000439 Sire_178967056 Dam_178964402 183_1_178_V_F 29.64 1614 2318 1053 704 1.496 27.31
183000441 Sire_178967056 Dam_178958863 183_1_178_V_M 40.75 2014 2852 1293 838 1.543 53.97
183000455 Sire_178962202 Dam_178955012 183_1_178_V_F 32.96 1726 2382 1091 656 1.663 87.43
183000465 Sire_178962202 Dam_178959473 183_1_178_V_F 36.99 1732 2378 977 646 1.512 -17.92
183000479 Sire_178954336 Dam_178960578 183_1_178_V_F 37.09 1662 2238 919 576 1.595 10.69
183000489 Sire_178953078 Dam_178953236 183_1_178_V_F 40.45 1840 2524 1141 684 1.668 82.75
183000491 Sire_178953078 Dam_178953236 183_1_178_V_M 38.09 2078 2826 1171 748 1.566 11.02
183000501 Sire_178953078 Dam_178962517 183_1_178_V_F 28.47 1706 2360 944 654 1.443 -52.9
183000515 Sire_178961678 Dam_178956781 183_1_178_V_F 32.47 1588 2114 868 526 1.65 27.14
183000527 Sire_178961678 Dam_178964472 183_1_178_V_F 38.69 1680 2148 783 468 1.673 -21.03
183000533 Sire_178964808 Dam_178954965 183_1_178_V_M 38.92 2118 2898 1300 780 1.667 99.76
183000537 Sire_178964808 Dam_178955115 183_1_178_V_F 32.17 1692 2220 853 528 1.616 -14.09
183000543 Sire_178964808 Dam_178955373 183_1_178_V_M 36.82 2040 2766 1113 726 1.533 -17.28
183000549 Sire_178964808 Dam_178959224 183_1_178_V_F 29.18 1672 2066 729 394 1.85 1.15
183000553 Sire_178964808 Dam_178960121 183_1_178_V_F 31.83 1816 2476 1028 660 1.558 -0.55
183000555 Sire_178958031 Dam_178954307 183_1_178_V_F 37.78 1628 2216 980 588 1.667 67.56
183000559 Sire_178958031 Dam_178954307 183_1_178_V_M 37.94 2014 2990 1415 976 1.45 35.77
183000567 Sire_178958031 Dam_178961044 183_1_178_V_F 35.31 1706 2306 1032 600 1.72 89.33
183000573 Sire_178958031 Dam_178962142 183_1_178_V_M 38.81 2106 2794 1112 688 1.616 7.55
183000577 Sire_178958031 Dam_178956197 183_1_178_V_F 37.57 1770 2482 1156 712 1.624 85.94
183000627 Sire_177943599 Dam_177944703 183_1_177_Y_F 34.04 1924 2454 921 530 1.738 -2.15
183000635 Sire_177943599 Dam_177945145 183_1_177_Y_M 42.38 2194 3016 1244 822 1.513 -13.61
183000637 Sire_177943599 Dam_177946042 183_1_177_Y_M 38.11 2068 2998 1391 930 1.496 48.05
183000649 Sire_177943599 Dam_177947573 183_1_177_Y_M 36.8 2052 2836 1191 784 1.519 -0.53
183000651 Sire_177943599 Dam_177947573 183_1_177_Y_F 35.42 1812 2356 968 544 1.779 56.88
183000657 Sire_177943599 Dam_177948778 183_1_177_Y_M 37.7 2182 3048 1304 866 1.506 4.01
183000667 Sire_177946761 Dam_177942263 183_1_177_Y_M 41.26 2082 2814 1055 732 1.441 -89.5
183000669 Sire_177946761 Dam_177942522 183_1_177_Y_M 36.67 2058 2884 1229 826 1.488 -6.36
183000697 Sire_177943296 Dam_177943875 183_1_177_Y_M 37.47 2124 2966 1313 842 1.559 48.62
183000703 Sire_177943296 Dam_177950228 183_1_177_Y_F 31.83 1774 2322 909 548 1.659 2.72
183000717 Sire_177942480 Dam_177944336 183_1_177_Y_F 38.58 1828 2388 888 560 1.586 -42.91
183000719 Sire_177942480 Dam_177944336 183_1_177_Y_F 39.91 1928 2470 939 542 1.732 2.87
183000735 Sire_177942480 Dam_177949108 183_1_177_Y_M 38.21 2100 2726 1049 626 1.676 8.7
183000747 Sire_177942480 Dam_177949849 183_1_177_Y_F 35.18 1778 2364 934 586 1.594 -11.38
183000751 Sire_177942480 Dam_177950643 183_1_177_Y_F 34.07 1712 2276 867 564 1.537 -40.91
183000755 Sire_177942480 Dam_177950643 183_1_177_Y_M 41.23 2030 2766 1139 736 1.548 0.5
183000767 Sire_177950470 Dam_177944684 183_1_177_Y_M 41.55 2104 2708 1031 604 1.707 12.28
183000769 Sire_177950470 Dam_177944684 183_1_177_Y_M 40.52 2106 2918 1205 812 1.484 -25.42
183000781 Sire_177950470 Dam_177949311 183_1_177_Y_M 38.73 2098 2840 1147 742 1.546 -10.76
183000783 Sire_177950470 Dam_177949311 183_1_177_Y_F 35.7 1860 2422 876 562 1.559 -64.38
183000797 Sire_177950147 Dam_177941883 183_1_177_Y_F 36.2 1996 2484 966 488 1.98 68.26
183000799 Sire_177950147 Dam_177941883 183_1_177_Y_F 31.01 1808 2438 1042 630 1.654 45.44
183000813 Sire_177950147 Dam_177945867 183_1_177_Y_M 40.25 2086 2766 1090 680 1.603 -2.45
183000815 Sire_177950147 Dam_177945916 183_1_177_Y_M 42.23 2164 3022 1290 858 1.503 1.62
183000857 Sire_177951129 Dam_177941872 183_1_177_Y_F 32.64 1822 2554 1133 732 1.548 30.74
183000861 Sire_177951129 Dam_177942990 183_1_177_Y_M 43.91 2068 2976 1671 908 1.84 350.4
183000879 Sire_177951129 Dam_177947054 183_1_177_Y_F 38.02 1934 2488 1042 554 1.881 92.42
183000883 Sire_177951129 Dam_177947223 183_1_177_Y_F 41.4 1864 2354 869 490 1.773 0.01
183000897 Sire_177949848 Dam_177943939 183_1_177_Y_F 35.52 1728 2296 921 568 1.621 5.35
183000905 Sire_177949848 Dam_177950288 183_1_177_Y_F 31.5 1840 2474 1027 634 1.62 18.97
183000915 Sire_177941525 Dam_177942214 183_1_177_Y_F 36.16 1764 2350 1044 586 1.782 101.88
183000917 Sire_177941525 Dam_177942214 183_1_177_Y_F 34.09 1780 2422 1071 642 1.668 68.91
183000923 Sire_177941525 Dam_177950860 183_1_177_Y_F 40.77 1818 2420 990 602 1.645 19.23
183000925 Sire_177941525 Dam_177943642 183_1_177_Y_F 36.63 1754 2478 1094 724 1.511 15.61
183000927 Sire_177941525 Dam_177945600 183_1_177_Y_F 34.29 1730 2438 1019 708 1.439 -37.73
183000941 Sire_177941525 Dam_177948057 183_1_177_Y_F 35.41 1758 2326 974 568 1.715 51.36
183000943 Sire_177941525 Dam_177948057 183_1_177_Y_F 38.79 1834 2486 1069 652 1.64 44.29
183000977 Sire_177948737 Dam_177944542 183_1_177_Y_F 31.98 1754 2630 1217 876 1.389 -14.05
183000989 Sire_177941889 Dam_177944515 183_1_177_Y_F 36.34 1856 2526 1004 670 1.499 -43.91
183000993 Sire_177941889 Dam_177944515 183_1_177_Y_M 38.06 2228 3022 1193 794 1.503 -42.75
183000995 Sire_177941889 Dam_177945012 183_1_177_Y_M 41.75 2420 3274 1372 854 1.607 38.13
183001017 Sire_177941889 Dam_177949123 183_1_177_Y_M 38.34 2224 2944 1282 720 1.781 122.2
183001021 Sire_177941889 Dam_177947293 183_1_177_Y_M 40.4 2120 3130 1465 1010 1.45 30.71
183001023 Sire_177941889 Dam_177947293 183_1_177_Y_M 41.11 2106 2806 1064 700 1.52 -52.64
183001025 Sire_177947337 Dam_177943302 183_1_177_Y_F 33.15 1810 2518 1086 708 1.534 10.64
183001027 Sire_177947337 Dam_177943302 183_1_177_Y_M 35.75 2108 2890 1243 782 1.59 42.67
183001035 Sire_177947337 Dam_177943588 183_1_177_Y_F 40.87 1926 2638 1113 712 1.563 6.6
183001039 Sire_177947337 Dam_177944163 183_1_177_Y_F 32.39 1702 2244 820 542 1.513 -63.48
183001041 Sire_177947337 Dam_177943445 183_1_177_Y_F 38.1 1914 2552 974 638 1.527 -55.29
183001047 Sire_177947337 Dam_177944925 183_1_177_Y_F 37.87 1854 2422 869 568 1.53 -76
183001049 Sire_177947337 Dam_177944925 183_1_177_Y_F 36.22 1844 2688 971 844 1.15 -248.9
183001059 Sire_177947337 Dam_177948804 183_1_177_Y_F 30.58 1808 2488 1059 680 1.557 12.22
183001061 Sire_177947337 Dam_177950151 183_1_177_Y_M 38.98 2244 3104 1397 860 1.624 91.1
183001071 Sire_177944191 Dam_177942130 183_1_177_Y_F 30.86 1854 2476 1097 622 1.764 97.76
183001085 Sire_177944191 Dam_177946359 183_1_177_Y_F 36.77 1926 2572 1171 646 1.813 130.88
183001095 Sire_177944191 Dam_177948869 183_1_177_Y_F 37.13 1772 2370 930 598 1.555 -26.03
183001103 Sire_177941328 Dam_177941587 183_1_177_Y_F 31.97 1824 2438 1055 614 1.718 70.78
183001119 Sire_177941328 Dam_177943517 183_1_177_Y_F 31.12 1754 2548 1066 794 1.343 -82.69
183001127 Sire_177941328 Dam_177945237 183_1_177_Y_F 32.22 1742 2608 1096 866 1.266 -122.2
183001131 Sire_177941328 Dam_177945237 183_1_177_Y_F 33.46 1730 2454 1028 724 1.42 -44.8
183001137 Sire_177941328 Dam_177948406 183_1_177_Y_F 33.42 1788 2498 1131 710 1.593 58.75
183001143 Sire_177941328 Dam_177948863 183_1_177_Y_F 32.08 1738 2410 1080 672 1.607 57.57
183001157 Sire_177942494 Dam_177941725 183_1_177_Y_F 34.16 1772 2430 1018 658 1.547 1.71
183001173 Sire_177942494 Dam_177950850 183_1_177_Y_F 38.97 1874 2388 932 514 1.813 36.57
183001175 Sire_177942494 Dam_177950850 183_1_177_Y_F 32.91 1758 2214 843 456 1.849 32.85
183001195 Sire_177949149 Dam_177941832 183_1_177_Y_F 34.23 1820 2314 816 494 1.652 -46.76
183001199 Sire_177949149 Dam_177943591 183_1_177_Y_F 32.97 1788 2426 1023 638 1.603 23.07
183001215 Sire_177949149 Dam_177945611 183_1_177_Y_F 32.88 1744 2440 1010 696 1.451 -37.94
183001247 Sire_177946769 Dam_177941661 183_1_177_Y_F 37.08 1756 2374 968 618 1.566 -4.39
183001267 Sire_177946769 Dam_177951076 183_1_177_Y_F 33.12 1734 2138 781 404 1.933 28.66
183001275 Sire_176936777 Dam_176933162 183_1_176_M_F 32.16 1736 2230 882 494 1.785 38.81
183001281 Sire_176936777 Dam_176934584 183_1_176_M_F 35.08 1904 2440 868 536 1.619 -56.51
183001287 Sire_176936777 Dam_176935570 183_1_176_M_F 33 1800 2266 842 466 1.807 12.02
183001293 Sire_176936777 Dam_176939621 183_1_176_M_M 36.41 2072 2968 1275 896 1.423 -34.18
183001299 Sire_176936777 Dam_176940839 183_1_176_M_F 38.2 1778 2336 880 558 1.577 -37.26
183001319 Sire_176940636 Dam_176932414 183_1_176_M_F 34.72 1848 2358 829 510 1.625 -56.35
183001325 Sire_176940636 Dam_176932949 183_1_176_M_F 35.52 1814 2332 866 518 1.672 -19.47
183001327 Sire_176940636 Dam_176933092 183_1_176_M_F 30.97 1748 2358 990 610 1.623 27.51
183001335 Sire_176940636 Dam_176940989 183_1_176_M_M 37.1 2072 2888 1186 816 1.453 -41.91
183001367 Sire_176933954 Dam_176938993 183_1_176_M_F 41.09 1726 2354 982 628 1.564 6.55
183001373 Sire_176933954 Dam_176940638 183_1_176_M_F 31.38 1734 2410 994 676 1.47 -31.52
183001419 Sire_176938612 Dam_176930208 183_1_176_M_F 32.6 1828 2522 1119 694 1.612 53.5
183001445 Sire_176938612 Dam_176937487 183_1_176_M_F 34.69 1732 2316 892 584 1.527 -40.65
183001459 Sire_176932102 Dam_176930555 183_1_176_M_M 39.82 2152 2958 1138 806 1.412 -95.23
183001471 Sire_176932102 Dam_0 183_1_176_M_F 38.29 1802 2488 1039 686 1.515 -12.4
183001473 Sire_176932102 Dam_176935941 183_1_176_M_M 39.08 2150 3160 1437 1010 1.423 -3.09
183001483 Sire_176932102 Dam_176936514 183_1_176_M_M 42.67 2252 3150 1371 898 1.527 24.95
183001487 Sire_176932102 Dam_176936784 183_1_176_M_F 39.92 1816 2350 998 534 1.869 96
183001493 Sire_176932102 Dam_176937460 183_1_176_M_F 34.84 1782 2130 670 348 1.925 -37.27
183001517 Sire_176934751 Dam_176934863 183_1_176_M_M 40.75 2108 2904 1201 796 1.509 -13.56
183001521 Sire_176934751 Dam_176935117 183_1_176_M_M 42.29 2348 3290 1442 942 1.531 32.67
183001535 Sire_176930221 Dam_176932656 183_1_176_M_F 32.24 1764 2382 983 618 1.591 8.74
183001541 Sire_176930221 Dam_176929604 183_1_176_M_F 37.09 1932 2500 928 568 1.634 -35.18
183001547 Sire_176930221 Dam_176929749 183_1_176_M_F 36.51 1826 2472 1121 646 1.735 104.18
183001557 Sire_176930221 Dam_176933119 183_1_176_M_F 37.75 1930 2392 936 462 2.026 79.75
183001565 Sire_176930221 Dam_176936950 183_1_176_M_F 40.75 1912 2460 902 548 1.646 -36.43
183001571 Sire_176930221 Dam_176936774 183_1_176_M_M 40.51 2164 2708 991 544 1.822 21.62
183001591 Sire_176931771 Dam_176937069 183_1_176_M_F 36.46 1814 2334 961 520 1.848 73.52
183001611 Sire_176937468 Dam_176929289 183_1_176_M_F 36.44 1854 2440 877 586 1.497 -86.08
183001621 Sire_176937468 Dam_176932233 183_1_176_M_F 31.86 1806 2220 690 414 1.667 -89.15
183001623 Sire_176937468 Dam_176932233 183_1_176_M_F 36.85 1812 2380 905 568 1.593 -30.22
183001643 Sire_176937468 Dam_176939698 183_1_176_M_F 41.19 1944 2582 1071 638 1.679 34.72
183001659 Sire_176938994 Dam_176933108 183_1_176_M_M 39.58 2024 2706 1001 682 1.468 -81.48
183001665 Sire_176938994 Dam_176936247 183_1_176_M_F 35.1 1774 2258 854 484 1.764 12
183001693 Sire_176929450 Dam_176933150 183_1_176_M_F 32.57 1780 2444 965 664 1.453 -59.18
183001701 Sire_176929450 Dam_176935403 183_1_176_M_F 33.47 1788 2638 1085 850 1.276 -127.9
183001703 Sire_176929450 Dam_176935403 183_1_176_M_M 38.93 2168 2900 898 732 1.227 -263.1
183001705 Sire_176929450 Dam_176936081 183_1_176_M_F 36.36 1718 2312 871 594 1.466 -68.44
183001713 Sire_176929450 Dam_176938198 183_1_176_M_F 39.96 1790 2098 621 308 2.016 -47.96
183001733 Sire_176935537 Dam_176936324 183_1_176_M_M 41.87 2132 2838 1136 706 1.609 8.23
183001735 Sire_176935537 Dam_176936324 183_1_176_M_F 38.11 1742 2392 1051 650 1.617 49.73
183001747 Sire_176935537 Dam_176938592 183_1_176_M_F 34.64 1766 2228 836 462 1.81 17.96
183001765 Sire_176933543 Dam_176931262 183_1_176_M_M 42.99 2154 2896 1182 742 1.593 13.4
183001767 Sire_176933543 Dam_176931265 183_1_176_M_F 36.53 1800 2520 1121 720 1.557 35.91
183001775 Sire_176933543 Dam_176931773 183_1_176_M_F 35.43 1704 2280 975 576 1.693 56.9
183001783 Sire_176933543 Dam_176930239 183_1_176_M_F 42.87 1938 2324 743 386 1.925 -38.78
183001785 Sire_176933543 Dam_176930239 183_1_176_M_M 41.18 2128 2726 1026 598 1.716 8.73
183001795 Sire_176933543 Dam_176938596 183_1_176_M_F 45.08 1928 2538 1064 610 1.744 59.57
183001809 Sire_176937839 Dam_176931340 183_1_176_M_F 38.99 1902 2602 1065 700 1.521 -23.76
183001827 Sire_176937839 Dam_176938614 183_1_176_M_F 33.12 1810 2670 1120 860 1.302 -108
183001831 Sire_176937839 Dam_176938954 183_1_176_M_F 36.71 1856 2330 785 474 1.656 -66.06
183001833 Sire_176937839 Dam_176938954 183_1_176_M_F 38.8 1764 2434 1021 670 1.524 -5.48
183001897 Sire_176930807 Dam_176935940 183_1_176_M_F 34.72 1776 2374 1033 598 1.727 76.04
183001899 Sire_176930807 Dam_176935940 183_1_176_M_F 34.38 1768 2494 1081 726 1.489 -2.66
183001901 Sire_176930807 Dam_176935940 183_1_176_M_F 35.59 1820 2438 948 618 1.534 -39.3
183001933 Sire_176931617 Dam_176932914 183_1_176_M_F 37.8 1902 2522 1006 620 1.623 -2.41
183001967 Sire_176940148 Dam_176929958 183_1_176_M_F 35.91 1806 2424 967 618 1.565 -17.04
183001969 Sire_176940148 Dam_176929958 183_1_176_M_F 33.82 1696 2210 874 514 1.7 20.04
183001973 Sire_176940148 Dam_176930556 183_1_176_M_F 31.11 1820 2550 1108 730 1.518 8.21
183001975 Sire_176940148 Dam_176930556 183_1_176_M_F 36.84 1892 2448 898 556 1.615 -43.8
183001977 Sire_176940148 Dam_176930808 183_1_176_M_M 42.05 2080 2840 1181 760 1.554 8.44
183001985 Sire_176940148 Dam_176932415 183_1_176_M_F 32.44 1750 2336 904 586 1.543 -34.86
183002003 Sire_176940148 Dam_176938544 183_1_176_M_F 31.83 1866 2248 809 382 2.118 48.01
183002011 Sire_176933957 Dam_176929416 183_1_176_M_F 39.49 1960 2694 1161 734 1.582 24.58
183002035 Sire_175919803 Dam_175919903 183_1_175_O_F 35.18 1810 2204 724 394 1.838 -36
183002051 Sire_175919803 Dam_175922219 183_1_175_O_M 40.9 2144 2712 961 568 1.692 -28.89
183002083 Sire_175921051 Dam_175927383 183_1_175_O_F 34.85 1730 2302 934 572 1.633 13.86
183002085 Sire_175921051 Dam_175927636 183_1_175_O_F 37.86 1926 2586 1221 660 1.85 166.82
183002091 Sire_175920975 Dam_175918869 183_1_175_O_F 31.42 1756 2396 993 640 1.552 -1.49
183002097 Sire_175920975 Dam_175921380 183_1_175_O_F 34.92 1822 2468 1003 646 1.553 -12.89
183002103 Sire_175920975 Dam_175922315 183_1_175_O_F 34.67 1738 2464 1136 726 1.565 59.33
183002113 Sire_175920975 Dam_175925717 183_1_175_O_F 36.74 1858 2444 873 586 1.49 -91.01
183002117 Sire_175920975 Dam_175928472 183_1_175_O_M 36.41 2068 2886 1211 818 1.48 -18.16
183002141 Sire_175919741 Dam_175919418 183_1_175_O_F 36.73 1824 2352 880 528 1.667 -17.84
183002153 Sire_175919741 Dam_175926437 183_1_175_O_F 34.66 1842 2340 838 498 1.683 -33.9
183002155 Sire_175919741 Dam_175926437 183_1_175_O_F 37.91 1770 2432 1081 662 1.633 61.15
183002161 Sire_175919741 Dam_175928929 183_1_175_O_F 29.02 1712 2522 1141 810 1.409 -13.98
183002177 Sire_175929012 Dam_175925317 183_1_175_O_F 38.84 1860 2384 1043 524 1.99 140.79
183002185 Sire_175929012 Dam_0 183_1_175_O_F 34.69 1752 2232 736 480 1.533 -96.86
183002187 Sire_175929012 Dam_175927780 183_1_175_O_F 34.52 1746 2264 852 518 1.645 -17.63
183002215 Sire_175927531 Dam_175928056 183_1_175_O_F 34.72 1742 2340 988 598 1.652 38.96
183002235 Sire_175921737 Dam_175922481 183_1_175_O_F 34.57 1732 2294 949 562 1.689 38.44
183002255 Sire_175921737 Dam_175927511 183_1_175_O_F 34.25 1722 2292 861 570 1.511 -55.26
183002259 Sire_175924697 Dam_175918867 183_1_175_O_F 36.72 1750 2218 869 468 1.857 48.66
183002261 Sire_175924697 Dam_175920127 183_1_175_O_M 39.06 2222 3152 1412 930 1.518 39.25
183002273 Sire_175924697 Dam_175924007 183_1_175_O_F 33.11 1766 2126 749 360 2.081 33.4
183002279 Sire_175924697 Dam_175924536 183_1_175_O_F 37.16 1858 2536 1157 678 1.706 100.59
183002287 Sire_175924697 Dam_175926192 183_1_175_O_M 42.67 2342 3164 1273 822 1.549 -13.26
183002291 Sire_175924697 Dam_175927776 183_1_175_O_M 40.06 2068 2768 962 700 1.374 -147.3
183002297 Sire_175929101 Dam_175919915 183_1_175_O_F 35.76 1844 2228 700 384 1.823 -57.87
183002301 Sire_175929101 Dam_175920693 183_1_175_O_M 39.35 2156 3034 1340 878 1.526 32.85
183002303 Sire_175929101 Dam_175921379 183_1_175_O_F 37.48 1712 2256 877 544 1.612 -10.82
183002307 Sire_175929101 Dam_175921779 183_1_175_O_F 34.72 1836 2380 930 544 1.71 13.29
183002313 Sire_175929101 Dam_175923676 183_1_175_O_M 42.72 2258 3018 1172 760 1.542 -35.01
183002317 Sire_175929101 Dam_175927209 183_1_175_O_M 38.16 2112 2926 1175 814 1.443 -58.62
183002319 Sire_175929101 Dam_175927209 183_1_175_O_M 37.69 2024 2638 1007 614 1.64 -6.4
183002345 Sire_175918762 Dam_175927918 183_1_175_O_M 37.5 2078 2976 1374 898 1.53 61.63
183002349 Sire_175918762 Dam_175928496 183_1_175_O_F 36.53 1786 2238 759 452 1.679 -53.66
183002353 Sire_175928952 Dam_175921036 183_1_175_O_M 37.16 2150 2744 1039 594 1.749 21.53
183002365 Sire_175928925 Dam_175919317 183_1_175_O_F 34.62 1726 2324 989 598 1.654 43.68
183002375 Sire_175928925 Dam_175920700 183_1_175_O_F 37.28 1804 2252 851 448 1.9 38.17
183002377 Sire_175928925 Dam_175920902 183_1_175_O_F 35.89 1738 2306 928 568 1.634 10.02
183002385 Sire_175928925 Dam_175925886 183_1_175_O_F 40.5 1874 2340 928 466 1.991 80.78
183002397 Sire_175925605 Dam_175921115 183_1_175_O_M 36.23 2178 2994 1296 816 1.588 47.58
183002407 Sire_175925605 Dam_175921494 183_1_175_O_F 37.27 1736 2336 966 600 1.61 16.35
183002409 Sire_175925605 Dam_175923696 183_1_175_O_F 36.68 1832 2510 1082 678 1.596 31.64
183002429 Sire_175929056 Dam_175920698 183_1_175_O_M 45.5 2274 3094 1307 820 1.594 35.93
183002435 Sire_175929056 Dam_175927308 183_1_175_O_F 36.91 1842 2488 1151 646 1.782 130.45
183002437 Sire_175929056 Dam_175921493 183_1_175_O_F 37.44 1924 2316 817 392 2.084 32.45
183002449 Sire_175929056 Dam_175925309 183_1_175_O_F 31.9 1744 2330 926 586 1.58 -11.46
183002451 Sire_175929056 Dam_175925309 183_1_175_O_M 41.23 2238 3240 1411 1002 1.408 -38
183002455 Sire_175929056 Dam_175926825 183_1_175_O_F 27.47 1824 2420 977 596 1.639 10.86
183002457 Sire_175929056 Dam_175926825 183_1_175_O_F 36.36 1716 2392 1014 676 1.5 -7.33
183002463 Sire_175919146 Dam_175920941 183_1_175_O_M 39.36 2058 2630 990 572 1.731 12.69
183002465 Sire_175919146 Dam_175921454 183_1_175_O_F 37.39 1804 2264 785 460 1.707 -39.89
183002467 Sire_175919146 Dam_175926229 183_1_175_O_M 38.59 2170 2958 1240 788 1.574 21.57
183002471 Sire_175919146 Dam_175921454 183_1_175_O_F 37.57 1782 2234 824 452 1.823 12.27
183002475 Sire_175919146 Dam_175922332 183_1_175_O_F 39.44 1772 2342 860 570 1.509 -67.91
183002515 Sire_175920927 Dam_175927964 183_1_175_O_F 32.7 1740 2452 1092 712 1.534 28.93
183002535 Sire_175926029 Dam_175921075 183_1_175_O_F 32.9 1824 2378 901 554 1.626 -22.95
183002543 Sire_175926029 Dam_175924079 183_1_175_O_F 36.08 1918 2390 849 472 1.799 -14.5
183002561 Sire_175921605 Dam_175925197 183_1_175_O_M 38.28 2076 2816 1249 740 1.688 97.53
183002563 Sire_175921605 Dam_175925197 183_1_175_O_F 39.75 1896 2552 1092 656 1.665 48.83
183002581 Sire_175924076 Dam_175921360 183_1_175_O_F 35.03 1782 2488 1068 706 1.513 1.17
183002585 Sire_175924076 Dam_175921685 183_1_175_O_M 44.03 2140 2978 1257 838 1.5 -6.42
183002603 Sire_175924076 Dam_175924398 183_1_175_O_F 40.49 1752 2338 924 586 1.577 -15.32
183002611 Sire_175924076 Dam_175929065 183_1_175_O_F 38.22 1790 2358 957 568 1.685 26.9
183002643 Sire_178961057 Dam_178965676 183_2_178_V_F 29.72 1670 2206 936 536 1.746 -37.64
183002651 Sire_178955116 Dam_178954024 183_2_178_V_M 37.16 2092 2592 1102 500 2.204 13.35
